policy,filter_type,threshold,gap_policy,event_id,event_crossing_time,detected,detected_in_zone,first_flag_time,lead_time_min
P3_last,B2_random,p=1e-05,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=1e-05,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.0001,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:45:00,-76.0
P3_last,B2_random,p=0.0005,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.0005,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:45:00,-76.0
P3_last,B2_random,p=0.001,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.001,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:45:00,-76.0
P3_last,B2_random,p=0.005,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,5,2019-08-17 10:29:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:45:00,-76.0
P3_last,B2_random,p=0.005,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.005,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:45:00,-76.0
P3_last,B2_random,p=0.01,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:00:00,-31.0
P3_last,B2_random,p=0.01,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P3_last,B2_random,p=0.01,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:45:00,-76.0
P3_last,B2_random,p=0.01,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.01,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,4,2019-08-16 12:39:00,False,True,2019-08-16 13:45:00,-66.0
P3_last,B2_random,p=0.05,not_applicable,5,2019-08-17 10:29:00,True,True,2019-08-17 10:15:00,14.0
P3_last,B2_random,p=0.05,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,8,2019-08-19 15:21:00,True,True,2019-08-19 15:00:00,21.0
P3_last,B2_random,p=0.05,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,10,2019-09-03 14:42:00,False,True,2019-09-03 14:45:00,-3.0
P3_last,B2_random,p=0.05,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,2,2019-08-09 14:20:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P3_last,B2_random,p=0.05,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,5,2019-08-17 10:29:00,False,True,2019-08-17 11:00:00,-31.0
P3_last,B2_random,p=0.05,not_applicable,6,2019-08-17 13:03:00,True,True,2019-08-17 12:30:00,33.0
P3_last,B2_random,p=0.05,not_applicable,7,2019-08-18 13:08:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P3_last,B2_random,p=0.05,not_applicable,9,2019-08-22 13:48:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,10,2019-09-03 14:42:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,1,2019-07-16 13:38:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,2,2019-08-09 14:20:00,True,True,2019-08-09 14:15:00,5.0
P3_last,B2_random,p=0.05,not_applicable,3,2019-08-16 09:39:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,4,2019-08-16 12:39:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,5,2019-08-17 10:29:00,True,True,2019-08-17 10:15:00,14.0
P3_last,B2_random,p=0.05,not_applicable,6,2019-08-17 13:03:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P3_last,B2_random,p=0.05,not_applicable,8,2019-08-19 15:21:00,False,False,,
P3_last,B2_random,p=0.05,not_applicable,9,2019-08-22 13:48:00,True,True,2019-08-22 13:11:00,37.0
P3_last,B2_random,p=0.05,not_applicable,10,2019-09-03 14:42:00,False,False,,
P4_identical,F1_rate,rate>0.5,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>0.5,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:17:00,3.0
P4_identical,F1_rate,rate>0.5,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>0.5,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>0.5,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P4_identical,F1_rate,rate>0.5,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>0.5,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>0.5,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P4_identical,F1_rate,rate>0.5,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P4_identical,F1_rate,rate>0.5,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P4_identical,F1_rate,rate>1,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>1,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P4_identical,F1_rate,rate>1,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>1,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>1,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P4_identical,F1_rate,rate>1,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>1,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>1,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P4_identical,F1_rate,rate>1,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P4_identical,F1_rate,rate>1,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P4_identical,F1_rate,rate>2,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>2,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P4_identical,F1_rate,rate>2,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>2,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>2,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P4_identical,F1_rate,rate>2,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>2,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>2,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P4_identical,F1_rate,rate>2,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P4_identical,F1_rate,rate>2,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P4_identical,F1_rate,rate>3,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>3,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P4_identical,F1_rate,rate>3,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>3,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>3,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P4_identical,F1_rate,rate>3,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>3,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>3,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P4_identical,F1_rate,rate>3,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P4_identical,F1_rate,rate>3,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P4_identical,F1_rate,rate>5,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>5,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P4_identical,F1_rate,rate>5,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>5,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>5,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P4_identical,F1_rate,rate>5,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>5,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>5,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P4_identical,F1_rate,rate>5,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P4_identical,F1_rate,rate>5,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P4_identical,F1_rate,rate>10,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>10,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P4_identical,F1_rate,rate>10,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>10,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>10,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P4_identical,F1_rate,rate>10,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>10,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>10,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P4_identical,F1_rate,rate>10,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P4_identical,F1_rate,rate>10,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P4_identical,F1_rate,rate>15,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P4_identical,F1_rate,rate>15,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P4_identical,F1_rate,rate>15,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P4_identical,F1_rate,rate>15,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P4_identical,F1_rate,rate>15,reset,5,2019-08-17 10:29:00,False,False,,
P4_identical,F1_rate,rate>15,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P4_identical,F1_rate,rate>15,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P4_identical,F1_rate,rate>15,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
